Date,Rank,WeeklyGross,PercentageChange,Avg,Gross-to-Date,WeekNo
Jun 3,1,73894349,0,20295,73894349,1
Jun 10,2,34530213,-53.30%,9353,108424562,2
Jun 17,4,17790366,-48.50%,5271,126214928,3
Jun 24,7,9496799,-46.60%,4694,135711727,4
Jul 1,11,4905010,-48.40%,3062,140616737,5
Jul 8,13,2203534,-55.10%,2602,142820271,6
Jul 15,16,1042047,-52.70%,2217,143862318,7
Jul 22,21,574015,-44.90%,1946,144436333,8
Jul 29,21,486450,-15.30%,1915,144922783,9
Aug 5,22,577954,18.80%,2449,145500737,10
Aug 12,30,307397,-46.80%,1680,145808134,11
Aug 19,35,202011,-34.30%,1384,146010145,12
Aug 26,39,159843,-20.90%,1453,146169988,13
Sep 2,46,147932,-7.50%,1465,146317920,14
Sep 9,55,54941,-62.90%,820,146372861,15
Sep 16,69,23943,-56.40%,665,146396804,16
Sep 23,86,11501,-52.00%,523,146408305,17